Latitude,Longitude,Street Address,Suburb,Postcode,Region,Bedrooms,Bathrooms,Parking Spaces,Property Type,Price,Listing Id,Title,Date Sold,Modified Date
-37.88761,145.17416,19 Gwingana Crescent,Glen Waverley,3150,eastern_melbourne,4,3,2,house,Contact agent,129434774,Family Perfection & Breathtaking Mountain Views,2018/10/27,2018/10/29 обнГ 09:21:11
-37.93383,145.0008,60 Holyrood Street,Hampton,3188,bayside,5,3,2,house,"$1,900,000 ",129472822,Family Focus & a First Class Location,2018/10/27,2018/11/1 обнГ 01:55:49
-37.98337,145.05484,29 Marina Road,Mentone,3194,bayside,4,3,2,house,"$1,860,000 ",129507178,Beachside Beauty,2018/10/27,2018/11/4 обнГ 01:55:29
-37.85696,144.99407,25 Elm Place,Prahran,3181,inner_east_melbourne,3,2,0,house,"$1,850,000 ",129487678,Victorian Windsor gem with contemporary flair!,2018/10/27,2018/11/2 обнГ 01:55:43
-37.86811,145.03522,38 Johnstone Street,Malvern,3144,inner_east_melbourne,3,2,2,house,Contact agent,129461670,"Contemporary Brilliance, Garden Living",2018/10/27,2018/11/1 ионГ 12:09:14
-37.85803,145.06115,48 Kerferd Road,Glen Iris,3146,inner_east_melbourne,4,2,2,house,"$1,788,000 ",129461182,Family excellence in prized Gardiners Creek pocket,2018/10/27,2018/10/31 обнГ 01:55:37
-37.90317,145.00925,14 Stone Street,Brighton East,3187,bayside,4,3,2,house,"$1,780,000 ",129486962,Contemporary class with the luxury of land,2018/10/27,2018/11/2 обнГ 01:55:42
-37.98343,145.03011,7 Lynette Avenue,Beaumaris,3193,bayside,4,2,2,house,"$1,750,000 ",129396034,Sun-soaked Family Living on 780sqm,2018/10/27,2018/11/5 обнГ 01:59:48
-37.75723,144.92697,12 Fitzgerald Road,Essendon,3040,melbourne___northern_region,4,3,2,house,"$1,750,000 ",129487754,This is what dreams are made of,2018/10/27,2018/11/2 обнГ 01:55:43
-37.55911,143.84808,26-28 Drummond Street North,Ballarat Central,3350,western_region,3,1,6,house,"$1,740,000 ",129385278,Medical Premises Opposite Base Hospital,2018/10/27,2018/11/4 обнГ 02:07:56
-37.84642,144.95068,135 Danks Street,Albert Park,3206,melbourne_city___greater_region,3,2,0,house,"$1,705,000 ",129459734,"Al Fresco Sophistication, Walk to the Beach",2018/10/27,2018/10/31 обнГ 01:55:35
-37.98635,145.08604,3 Gilbert Court,Parkdale,3195,bayside,4,3,2,house,"$1,700,000 ",129487270,"Captivating style, family location",2018/10/27,2018/11/2 обнГ 01:55:42
